"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"MUSK ÍNTIMO | MUSKAT©","Muskat",,3760,105114.65,-7414.4,-962.95,96737.3,0,96737.3
"Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Muskat",,1629,84825.4,-7260.54,-782.45,76782.41,0,76782.41
"2 musks comprados = 3 musks gratis","Muskat",,536,26836.2,-1802.95,-89.82,24943.43,0,24943.43
"MUSK ÍNTIMO - ALMIZCLE BLANCO","Muskat",,803,16738.5,-1047.26,-240.36,15450.88,0,15450.88
"1 desodorante comprado = 1 almizcle al 50% de descuento","Muskat",,423,14610.5,-1113.04,-29.9,13467.56,0,13467.56
"Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Muskat",,306,12289.2,-638.42,-79.8,11570.98,0,11570.98
"1 bruma comprada = 1 musk al 50% de descuento","Muskat",,277,11109.8,-887.71,-150.26,10071.83,0,10071.83
"MUSK ÍNTIMO - CEREZA","Muskat",,443,9125.5,-582.48,-37.81,8505.21,0,8505.21
"MUSK ÍNTIMO - MONOÏ","Muskat",,358,8853.7,-665.93,-89.55,8098.22,0,8098.22
"Pack Ultimate: 3 musk + 2 desodorantes + 2 brumas","Muskat",,56,5194.4,-461.5,0,4732.9,0,4732.9
"2 brumas compradas = 3 brumas gratis","Muskat",,63,4397.4,-275.72,0,4121.68,0,4121.68
"1 bruma comprada = segunda bruma al 50% de descuento","Muskat",,99,4015.85,-348.4,0,3667.45,0,3667.45
"1 desodorante comprado = 1 musk gratis","Muskat",,114,3498.3,-216.79,-83.72,3197.79,0,3197.79
"Pack de dulces : 1 bruma de algodón de azúcar + 1 musk de algodón de azúcar","Muskat",,94,3280.6,-167.53,0,3113.07,0,3113.07
"1 bruma comprada = 50% de descuento en el desodorante","Muskat",,79,3240.85,-241.84,-27.92,2971.09,0,2971.09
"Pack blackfriday : 2 musks + 2 desodorante + 2 brumas","Muskat",,45,3145.5,-192.23,0,2953.27,0,2953.27
"Pack exótico : 1 musk monoi + 1 bruma de coco rojo","Muskat",,66,2338.3,-95.98,-31.41,2210.91,0,2210.91
"Pack fragancia : 5 brumas + 2 musks + 2 desodorantes","Muskat",,21,1887.9,-134.86,0,1753.04,0,1753.04
"Bruma corporal de coco rojo","Muskat",,61,1913.9,-170.95,0,1742.95,0,1742.95
"Bruma corporal de musk blanco","Muskat",,48,1565.2,-88.24,0,1476.96,0,1476.96
"Pack delicadeza : 1 bruma de vainilla caramelo + 1 musk blanco","Muskat",,39,1361.1,-120.42,0,1240.68,0,1240.68
"Pack rosado : 1 bruma pinky + 1 musk de cereza","Muskat",,37,1291.3,-62.82,0,1228.48,0,1228.48
"Bruma corporal Pinky","Muskat",,38,1285.7,-52.33,-26.91,1206.46,0,1206.46
"1 bruma comprada = 1 desodorante gratis","Muskat",,34,1186.6,-90.75,0,1095.85,0,1095.85
"Bruma corporal de vainilla y caramelo","Muskat",,34,1121.25,-52.33,-26.91,1042.01,0,1042.01
"Bruma de algodón de azúcar","Muskat",,28,842.2,-60.81,0,781.39,0,781.39
"Oferta limitada: 1 bruma de caramelo de vainilla + 1 bruma de pinky","Muskat",,19,763,-65.09,-35.91,662,0,662
"1 desodorante de musk blanco","Muskat",,19,568.1,-38.87,0,529.23,0,529.23
"Pack regalo : 3 brumas + 3 musks + 3 desodorantes","Muskat",,3,299.7,-19.98,0,279.72,0,279.72
"Pack de 6 meses de frescura : 5 musks + 5 desodorante + 5 brumas","Muskat",,2,299.8,-29.98,0,269.82,0,269.82
"Pack descubrimiento : 2 musk + 1 desodorante + 1 bruma","Muskat",,1,49.9,0,0,49.9,0,49.9
