"Day","Product title","Product variant title","Net sales","Day (previous_period)","Net sales (previous_period)"
"2025-02-14","2 musks comprados = 3 musks gratis","Musk blanco / Musk blanco / Musk blanco",194.61,"2024-11-17",0
"2025-05-07","2 musks comprados = 3 musks gratis","Musk blanco / Musk blanco / Musk blanco",169.68,"2025-02-07",0
"2025-03-29","MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Algodón de azúcar,Algodón de azúcar,Algodón de azúcar",159.6,"2024-12-30",39.9
"2025-03-17","Pack de 6 meses de frescura : 5 musks + 5 desodorante + 5 brumas","Algodón de azúcar / Algodón de azúcar / Musk blanco",149.9,"2024-12-18",0
"2025-04-13","Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Algodón de azúcar / Musk blanco",149.7,"2025-01-14",44.91
"2025-05-06","MUSK ÍNTIMO - ALMIZCLE BLANCO","Default Title",140.32,"2025-02-06",0
"2025-03-01","MUSK ÍNTIMO | MUSKAT©","1 Muskat Musk íntimo / Algodón de azúcar",135.32,"2024-12-02",89.55
"2025-04-20","MUSK ÍNTIMO - ALMIZCLE BLANCO","Default Title",135.32,"2025-01-21",59.7
"2025-04-20","1 desodorante comprado = 1 almizcle al 50% de descuento","2 desodorantes comprados = 2 musk gratis / Algodón de azúcar,Algodón de azúcar",119.8,"2025-01-21",0
"2025-03-05","Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Musk blanco / Musk blanco / Musk blanco",119.7,"2024-12-06",79.8
"2025-02-19","MUSK ÍNTIMO | MUSKAT©","1 Muskat Musk íntimo / Algodón de azúcar",115.42,"2024-11-22",0
"2025-03-13","MUSK ÍNTIMO - ALMIZCLE BLANCO","Default Title",111.44,"2024-12-14",19.9
"2025-02-20","MUSK ÍNTIMO | MUSKAT©","1 Muskat Musk íntimo / Algodón de azúcar",109.45,"2024-11-23",17.91
"2025-05-05","MUSK ÍNTIMO | MUSKAT©","2 comprados = 1 gratis / Algodón de azúcar,Algodón de azúcar,Algodón de azúcar",101.75,"2025-02-05",0
"2025-03-07","Pack de dulces : 1 bruma de algodón de azúcar + 1 musk de algodón de azúcar","Default Title",101.21,"2024-12-08",69.8
"2025-03-22","Pack regalo : 3 brumas + 3 musks + 3 desodorantes","Musk blanco / Musk blanco / Musk blanco",99.9,"2024-12-23",0
"2025-05-05","Pack Ultimate: 3 musk + 2 desodorantes + 2 brumas","Cereza / Algodón de azúcar / Musk Blanco",99.9,"2025-02-05",0
"2025-03-01","2 musks comprados = 3 musks gratis","Musk blanco / Algodón de azúcar / Cereza",99.8,"2024-12-02",0
"2025-03-26","Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Algodón de azúcar / Musk blanco",99.8,"2024-12-27",0
"2025-05-05","2 musks comprados = 3 musks gratis","Algodón de azúcar / Algodón de azúcar / Algodón de azúcar",99.8,"2025-02-05",0
"2025-02-13","MUSK ÍNTIMO | MUSKAT©","1 Muskat Musk íntimo / Algodón de azúcar",99.5,"2024-11-16",0
"2025-02-21","MUSK ÍNTIMO | MUSKAT©","1 Muskat Musk íntimo / Algodón de azúcar",99.5,"2024-11-24",55.72
"2025-03-31","MUSK ÍNTIMO - ALMIZCLE BLANCO","Default Title",99.5,"2025-01-01",19.9
"2025-04-29","MUSK ÍNTIMO - ALMIZCLE BLANCO","Default Title",99.5,"2025-01-30",35.82
"2025-05-02","MUSK ÍNTIMO - ALMIZCLE BLANCO","Default Title",99.5,"2025-02-02",0
"2025-02-21","Pack de dulces : 1 bruma de algodón de azúcar + 1 musk de algodón de azúcar","Default Title",97.72,"2024-11-24",0
