"Day","Product title","Product variant title","Net sales","Day (previous_period)","Net sales (previous_period)"
"2025-03-26","Bruma corporal de vainilla y caramelo","1 Bruma de caramelo de vainilla",29.9,"2024-12-27",23.92
"2025-03-26","1 desodorante comprado = 1 musk gratis","Musk blanco / Musk blanco",29.9,"2024-12-27",0
"2025-03-28","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Monoi,Monoi",29.9,"2024-12-29",0
"2025-03-28","MUSK ÍNTIMO - MONOÏ","1 monoi musk comprado = el segundo al 50% de descuento",29.9,"2024-12-29",0
"2025-03-28","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2024-12-29",29.9
"2025-03-28","1 desodorante comprado = 1 musk gratis","Cereza / Musk blanco",29.9,"2024-12-29",0
"2025-03-29","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2024-12-30",29.9
"2025-03-30","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2024-12-31",0
"2025-03-31","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-01-01",0
"2025-04-01","1 desodorante comprado = 1 musk gratis","Monoi / Musk blanco",29.9,"2025-01-02",0
"2025-04-01","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Musk Blanco",29.9,"2025-01-02",0
"2025-04-01","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-01-02",0
"2025-04-02","1 desodorante comprado = 1 musk gratis","Musk blanco / Musk blanco",29.9,"2025-01-03",29.9
"2025-04-02","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Cereza,Monoi",29.9,"2025-01-03",23.92
"2025-04-02","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-01-03",0
"2025-04-03","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Monoi",29.9,"2025-01-04",0
"2025-04-03","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Cereza",29.9,"2025-01-04",0
"2025-04-03","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Cereza",29.9,"2025-01-04",29.9
"2025-04-04","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Cereza",29.9,"2025-01-05",0
"2025-04-04","MUSK ÍNTIMO - MONOÏ","1 monoi musk comprado = el segundo al 50% de descuento",29.9,"2025-01-05",0
"2025-04-04","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Musk Blanco",29.9,"2025-01-05",0
"2025-04-05","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-01-06",0
"2025-04-05","Bruma corporal de vainilla y caramelo","1 Bruma de caramelo de vainilla",29.9,"2025-01-06",0
"2025-04-05","1 desodorante comprado = 1 musk gratis","Musk blanco / Musk blanco",29.9,"2025-01-06",0
"2025-04-05","1 desodorante comprado = 1 musk gratis","Algodón de azúcar / Musk blanco",29.9,"2025-01-06",0
"2025-04-07","MUSK ÍNTIMO - MONOÏ","1 monoi musk comprado = el segundo al 50% de descuento",29.9,"2025-01-08",0
"2025-04-08","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Monoi",29.9,"2025-01-09",0
"2025-04-08","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Cereza",29.9,"2025-01-09",29.9
"2025-04-10","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-01-11",0
"2025-04-12","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Musk Blanco",29.9,"2025-01-13",0
"2025-04-13","1 desodorante comprado = 1 musk gratis","Algodón de azúcar / Musk blanco",29.9,"2025-01-14",0
"2025-04-15","1 desodorante comprado = 1 musk gratis","Monoi / Musk blanco",29.9,"2025-01-16",0
"2025-04-16","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-01-17",0
"2025-04-17","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-01-18",29.9
"2025-04-17","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Cereza",29.9,"2025-01-18",29.9
"2025-04-18","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-01-19",0
"2025-04-18","1 desodorante comprado = 1 musk gratis","Musk blanco / Musk blanco",29.9,"2025-01-19",29.9
"2025-04-18","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Monoi",29.9,"2025-01-19",0
"2025-04-19","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Cereza",29.9,"2025-01-20",0
"2025-04-19","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Musk Blanco",29.9,"2025-01-20",0
"2025-04-20","1 desodorante comprado = 1 musk gratis","Musk blanco / Musk blanco",29.9,"2025-01-21",0
"2025-04-21","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Cereza,Cereza",29.9,"2025-01-22",0
"2025-04-21","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Musk Blanco",29.9,"2025-01-22",0
"2025-04-22","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Musk Blanco",29.9,"2025-01-23",0
"2025-04-23","1 desodorante comprado = 1 musk gratis","Cereza / Musk blanco",29.9,"2025-01-24",0
"2025-04-23","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Cereza",29.9,"2025-01-24",29.9
"2025-04-26","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Cereza",29.9,"2025-01-27",0
"2025-04-29","Bruma corporal de vainilla y caramelo","1 Bruma de caramelo de vainilla",29.9,"2025-01-30",29.9
"2025-04-29","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Musk Blanco",29.9,"2025-01-30",23.92
"2025-04-30","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Musk Blanco",29.9,"2025-01-31",0
"2025-04-30","Bruma corporal Pinky","1 Bruma Pinky",29.9,"2025-01-31",0
"2025-04-30","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Cereza",29.9,"2025-01-31",23.92
"2025-04-30","1 desodorante comprado = 1 musk gratis","Musk blanco / Musk blanco",29.9,"2025-01-31",0
"2025-04-30","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Monoi",29.9,"2025-01-31",0
"2025-05-01","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Musk Blanco",29.9,"2025-02-01",0
"2025-05-01","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Cereza,Cereza",29.9,"2025-02-01",0
"2025-05-02","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-02-02",0
"2025-05-02","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Cereza",29.9,"2025-02-02",29.9
"2025-05-04","MUSK ÍNTIMO - MONOÏ","1 monoi musk comprado = el segundo al 50% de descuento",29.9,"2025-02-04",0
"2025-05-05","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Monoi,Monoi",29.9,"2025-02-05",0
"2025-05-06","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",29.9,"2025-02-06",0
"2025-05-06","1 desodorante comprado = 1 musk gratis","Cereza / Musk blanco",29.9,"2025-02-06",0
"2025-03-06","Bruma corporal de musk blanco","Default Title",29.67,"2024-12-07",31.41
"2025-05-05","Pack exótico : 1 musk monoi + 1 bruma de coco rojo","Default Title",29.67,"2025-02-05",34.9
"2025-05-06","Pack delicadeza : 1 bruma de vainilla caramelo + 1 musk blanco","Default Title",29.67,"2025-02-06",0
"2025-03-08","Pack exótico : 1 musk monoi + 1 bruma de coco rojo","Default Title",29.66,"2024-12-09",90.74
"2025-04-03","Pack delicadeza : 1 bruma de vainilla caramelo + 1 musk blanco","Default Title",29.66,"2025-01-04",34.9
"2025-04-10","Pack delicadeza : 1 bruma de vainilla caramelo + 1 musk blanco","Default Title",29.66,"2025-01-11",0
"2025-03-01","Pack delicadeza : 1 bruma de vainilla caramelo + 1 musk blanco","Default Title",27.92,"2024-12-02",27.92
"2025-03-11","1 bruma comprada = 1 desodorante gratis","Musk blanco / Musk blanco",27.92,"2024-12-12",0
"2025-03-11","Pack delicadeza : 1 bruma de vainilla caramelo + 1 musk blanco","Default Title",27.92,"2024-12-12",61.07
"2025-03-21","Bruma corporal de coco rojo","Default Title",27.92,"2024-12-22",0
"2025-04-23","1 bruma comprada = 1 desodorante gratis","Musk blanco / Musk blanco",27.92,"2025-01-24",0
"2025-04-25","1 bruma comprada = 1 desodorante gratis","Musk blanco / Musk blanco",27.92,"2025-01-26",0
"2025-02-14","1 desodorante comprado = 1 musk gratis","Monoi / Musk blanco",26.91,"2024-11-17",0
"2025-02-15","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Monoi,Monoi",26.91,"2024-11-18",0
"2025-02-19","MUSK ÍNTIMO - MONOÏ","1 monoi musk comprado = el segundo al 50% de descuento",26.91,"2024-11-22",0
"2025-02-20","Bruma de algodón de azúcar","Default Title",26.91,"2024-11-23",17.45
"2025-02-24","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Algodón de azúcar",26.91,"2024-11-27",0
"2025-03-02","Bruma de algodón de azúcar","Default Title",26.91,"2024-12-03",0
"2025-03-07","1 desodorante comprado = 1 musk gratis","Musk blanco / Musk blanco",26.91,"2024-12-08",56.81
"2025-03-20","Bruma corporal Pinky","1 Bruma Pinky",26.91,"2024-12-21",0
"2025-03-20","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Monoi",26.91,"2024-12-21",29.9
"2025-03-24","Bruma corporal Pinky","1 Bruma Pinky",26.91,"2024-12-25",0
"2025-03-25","1 desodorante comprado = 1 musk gratis","Musk blanco / Musk blanco",26.91,"2024-12-26",0
"2025-03-28","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Cereza,Monoi",26.91,"2024-12-29",0
"2025-03-31","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Musk Blanco,Musk Blanco",26.91,"2025-01-01",0
