"Day","Product title","Product variant title","Net sales","Day (previous_period)","Net sales (previous_period)"
"2025-03-14","Pack exótico : 1 musk monoi + 1 bruma de coco rojo","Default Title",0,"2024-12-15",34.9
"2025-03-14","2 musks comprados = 3 musks gratis","Musk blanco / Musk blanco / Musk blanco",0,"2024-12-15",99.8
"2025-03-14","Bruma de algodón de azúcar","Default Title",0,"2024-12-15",29.9
"2025-03-14","Pack regalo : 3 brumas + 3 musks + 3 desodorantes","Musk blanco / Cereza / Musk blanco",0,"2024-12-15",79.92
"2025-03-14","2 brumas compradas = 3 brumas gratis","Pinky / Coco rojo",0,"2024-12-15",62.82
"2025-03-14","Bruma corporal Pinky","1 Bruma Pinky",0,"2024-12-15",29.9
"2025-03-14","2 musks comprados = 3 musks gratis","Musk blanco / Algodón de azúcar / Algodón de azúcar",0,"2024-12-15",44.91
"2025-03-14","2 musks comprados = 3 musks gratis","Musk blanco / Algodón de azúcar / Monoï",0,"2024-12-15",49.9
"2025-03-14",,,0,"2024-12-15",-44.91
"2025-03-15","2 musks comprados = 3 musks gratis","Musk blanco / Musk blanco / Musk blanco",0,"2024-12-16",49.9
"2025-03-15","MUSK ÍNTIMO - CEREZA","Default Title",0,"2024-12-16",19.9
"2025-03-15","Pack de dulces : 1 bruma de algodón de azúcar + 1 musk de algodón de azúcar","Default Title",0,"2024-12-16",90.74
"2025-03-15","Pack blackfriday : 2 musks + 2 desodorante + 2 brumas","Musk blanco / Musk blanco / Musk blanco",0,"2024-12-16",69.9
"2025-03-15","2 musks comprados = 3 musks gratis","Musk blanco / Cereza / Monoï",0,"2024-12-16",49.9
"2025-03-15","2 musks comprados = 3 musks gratis","Cereza / Algodón de azúcar / Monoï",0,"2024-12-16",49.9
"2025-03-15","MUSK ÍNTIMO | MUSKAT©","1 comprado = el segundo al 50% de descuento / Algodón de azúcar,Musk Blanco",0,"2024-12-16",29.9
"2025-03-15","Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Monoi / Algodón de azúcar / Musk blanco",0,"2024-12-16",39.9
"2025-03-15","2 musks comprados = 3 musks gratis","Musk blanco / Musk blanco / Monoï",0,"2024-12-16",49.9
"2025-03-15","2 brumas compradas = 3 brumas gratis","Pinky / Musk blanco",0,"2024-12-16",69.8
"2025-03-15","2 musks comprados = 3 musks gratis","Cereza / Musk blanco / Monoï",0,"2024-12-16",42.41
"2025-03-15","Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Musk Blanco / Cereza / Musk blanco",0,"2024-12-16",49.9
"2025-03-15","Bruma corporal de vainilla y caramelo","1 Bruma de caramelo de vainilla",0,"2024-12-16",29.9
"2025-03-15","2 musks comprados = 3 musks gratis","Algodón de azúcar / Monoï / Musk blanco",0,"2024-12-16",49.9
"2025-03-15","2 musks comprados = 3 musks gratis","Algodón de azúcar / Cereza / Monoï",0,"2024-12-16",94.81
"2025-03-15","1 desodorante comprado = 1 musk gratis","Monoi / Musk blanco",0,"2024-12-16",29.9
"2025-03-15","Pack descubrimiento: 2 musks + 1 desodorante + 1 bruma","Cereza / Algodón de azúcar / Vainilla caramelo",0,"2024-12-16",49.9
"2025-03-15","2 brumas compradas = 3 brumas gratis","Vainilla caramelo / Coco rojo",0,"2024-12-16",62.82
"2025-03-15","Pack de rutina de frescura completa : 1 musk + 1 bruma + 1 desodorante","Cereza / Coco rojo / Musk blanco",0,"2024-12-16",39.9
"2025-03-15","2 brumas compradas = 3 brumas gratis","Musk blanco / Musk blanco",0,"2024-12-16",69.8
